path,dataset,beta
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_289.png,rtts,0.60116291
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_494.png,rtts,1.23291314
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_525.png,rtts,0.27786523
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_023.png,rtts,1.31302547
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_087.png,rtts,0.74724168
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_174.png,rtts,0.37580612
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_196.png,rtts,0.78875434
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_247.png,rtts,0.83351111
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_249.png,rtts,1.57382500
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_254.png,rtts,0.93461484
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_256.png,rtts,1.08665383
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_355.png,rtts,1.02051294
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_486.png,rtts,1.13061118
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_216.png,rtts,0.50468695
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_232.png,rtts,0.72199464
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_420.png,rtts,0.47397354
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_609.png,rtts,0.77660513
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Google_054.png,rtts,0.98342413
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Google_428.png,rtts,1.11908567
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Google_435.png,rtts,0.94340497
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_144.png,rtts,1.02234173
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_21.png,rtts,1.16170049
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_363.png,rtts,0.96453702
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_421.png,rtts,0.31198138
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_575.png,rtts,0.99407852
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_704.png,rtts,0.85722518
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_909.png,rtts,0.67509991
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_059.png,rtts,0.84699255
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_104.png,rtts,1.03185070
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_164.png,rtts,0.98574126
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_185.png,rtts,0.65970320
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_192.png,rtts,1.18535030
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_195.png,rtts,0.66995454
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_266.png,rtts,1.07068765
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_284.png,rtts,0.89295715
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_344.png,rtts,1.16858947
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_381.png,rtts,0.93943769
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_385.png,rtts,1.42099822
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_575.png,rtts,0.95859981
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_617.png,rtts,0.84961432
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_672.png,rtts,1.39366257
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Bing_718.png,rtts,1.25869060
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_19.png,rtts,0.70350772
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_211.png,rtts,0.71384782
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_357.png,rtts,1.52163184
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_374.png,rtts,1.04488325
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_401.png,rtts,1.14586365
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_409.png,rtts,1.56142819
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_500.png,rtts,0.96257055
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_535.png,rtts,0.77594036
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Google_608.png,rtts,0.94269997
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Baidu_068.png,rtts,0.62685573
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Baidu_213.png,rtts,1.02846432
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Bing_122.png,rtts,0.62180817
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Bing_314.png,rtts,0.96538162
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Bing_430.png,rtts,0.52322602
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Bing_446.png,rtts,0.63496268
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BL_Google_178.png,rtts,1.36675203
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_086.png,rtts,0.93974960
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_095.png,rtts,0.57458979
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_137.png,rtts,1.08645511
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_141.png,rtts,1.28692198
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_150.png,rtts,0.88712639
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_174.png,rtts,1.18871009
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_230.png,rtts,1.44534457
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Baidu_295.png,rtts,0.99416858
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_003.png,rtts,1.09773600
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_081.png,rtts,1.14344883
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_125.png,rtts,0.77235401
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_26.png,rtts,0.39988858
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_275.png,rtts,1.04698777
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_390.png,rtts,1.06957519
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_510.png,rtts,1.52664697
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_572.png,rtts,1.10286188
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_573.png,rtts,0.99901730
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_653.png,rtts,1.19574893
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CC_Bing_731.png,rtts,1.12880313
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Baidu_012.png,rtts,0.96216649
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Baidu_077.png,rtts,1.94244730
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Baidu_352.png,rtts,1.24578965
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Baidu_489.png,rtts,0.97679687
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Bing_176.png,rtts,0.41249800
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Bing_338.png,rtts,0.74630827
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Bing_416.png,rtts,0.64129668
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Bing_452.png,rtts,0.63955563
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/CD_Google_180.png,rtts,1.26460516
