gate_input,ks_ratio_real_synth_over_synth_synth,ks_real_synth_by_beta,ks_real_synth_mean,ks_synth_synth_by_beta_pair,ks_synth_synth_mean,l2_ratio_real_synth_over_synth_synth,l2_real_synth_mean,l2_real_synth_std,l2_synth_synth_mean,l2_synth_synth_std,mmd_ratio_real_synth_over_synth_synth,mmd_real_synth_by_beta,mmd_real_synth_mean,mmd_synth_synth_by_beta_pair,mmd_synth_synth_mean,n_real_synth_pairs,n_synth_synth_pairs,seed,variant
rgb,1.9011904761904759,"{""beta_0.005"": 0.332, ""beta_0.01"": 0.3393333333333333, ""beta_0.02"": 0.39333333333333337}",0.35488888888888886,"{""beta_0.005_vs_beta_0.01"": 0.11266666666666664, ""beta_0.005_vs_beta_0.02"": 0.264, ""beta_0.01_vs_beta_0.02"": 0.18333333333333335}",0.18666666666666668,1.9973729146343846,0.10050268471240997,0.05507765710353851,0.0503174364566803,0.02821878157556057,1.9551104612121228,"{""beta_0.005"": 0.4079006471800458, ""beta_0.01"": 0.42529065823209455, ""beta_0.02"": 0.48688353690479297}",0.44002494743897774,"{""beta_0.005_vs_beta_0.01"": 0.11631233746717219, ""beta_0.005_vs_beta_0.02"": 0.3334354948281639, ""beta_0.01_vs_beta_0.02"": 0.22544411644934892}",0.22506398291489502,423,423,42,rgb
rgb,3.2283185840707973,"{""beta_0.005"": 0.4286666666666667, ""beta_0.01"": 0.41066666666666674, ""beta_0.02"": 0.3766666666666667}",0.4053333333333334,"{""beta_0.005_vs_beta_0.01"": 0.09999999999999998, ""beta_0.005_vs_beta_0.02"": 0.17066666666666666, ""beta_0.01_vs_beta_0.02"": 0.10599999999999997}",0.12555555555555553,1.904847178715905,0.11714354902505875,0.06560064852237701,0.061497610062360764,0.03757230564951897,3.975418359519978,"{""beta_0.005"": 0.5155790337420901, ""beta_0.01"": 0.48107583027346296, ""beta_0.02"": 0.4413841894448519}",0.4793463511534683,"{""beta_0.005_vs_beta_0.01"": 0.0933886084888649, ""beta_0.005_vs_beta_0.02"": 0.17516942816242365, ""beta_0.01_vs_beta_0.02"": 0.09317472287494272}",0.12057758650874374,423,423,123,rgb
rgb,1.6574279379157428,"{""beta_0.005"": 0.29, ""beta_0.01"": 0.3093333333333334, ""beta_0.02"": 0.3973333333333333}",0.33222222222222225,"{""beta_0.005_vs_beta_0.01"": 0.136, ""beta_0.005_vs_beta_0.02"": 0.2886666666666667, ""beta_0.01_vs_beta_0.02"": 0.17666666666666667}",0.20044444444444445,1.6077971255040857,0.11202578991651535,0.05904720723628998,0.06967657059431076,0.04532215744256973,1.806264504845459,"{""beta_0.005"": 0.3791953109285115, ""beta_0.01"": 0.3995917829853, ""beta_0.02"": 0.48318032747399803}",0.42065580712926987,"{""beta_0.005_vs_beta_0.01"": 0.13701021481449516, ""beta_0.005_vs_beta_0.02"": 0.3467001108189785, ""beta_0.01_vs_beta_0.02"": 0.21495114836575188}",0.23288715799974183,423,423,456,rgb
rgb,2.1142098273572376,"{""beta_0.005"": 0.37000000000000005, ""beta_0.01"": 0.34400000000000003, ""beta_0.02"": 0.3473333333333333}",0.3537777777777778,"{""beta_0.005_vs_beta_0.01"": 0.09400000000000001, ""beta_0.005_vs_beta_0.02"": 0.2386666666666667, ""beta_0.01_vs_beta_0.02"": 0.16933333333333336}",0.16733333333333336,1.7528856231319037,0.09608805924654007,0.05710135027766228,0.0548170730471611,0.03887481242418289,2.4459660626408164,"{""beta_0.005"": 0.4409803463651703, ""beta_0.01"": 0.40385159771925166, ""beta_0.02"": 0.4033861707853095}",0.41607270495657717,"{""beta_0.005_vs_beta_0.01"": 0.08805170480863045, ""beta_0.005_vs_beta_0.02"": 0.24932264902459694, ""beta_0.01_vs_beta_0.02"": 0.17294266729587113}",0.1701056737096995,423,423,789,rgb
rgb,2.18482905982906,"{""beta_0.005"": 0.42266666666666675, ""beta_0.01"": 0.45999999999999996, ""beta_0.02"": 0.48066666666666674}",0.4544444444444445,"{""beta_0.005_vs_beta_0.01"": 0.156, ""beta_0.005_vs_beta_0.02"": 0.28933333333333333, ""beta_0.01_vs_beta_0.02"": 0.17866666666666667}",0.208,2.9496461370058045,0.10817407071590424,0.06417843699455261,0.03667357563972473,0.02486114203929901,2.324132601975609,"{""beta_0.005"": 0.5402436742743002, ""beta_0.01"": 0.5519031188413828, ""beta_0.02"": 0.559170614677838}",0.5504391359311737,"{""beta_0.005_vs_beta_0.01"": 0.16797176007477055, ""beta_0.005_vs_beta_0.02"": 0.33975456425578815, ""beta_0.01_vs_beta_0.02"": 0.20278279480912914}",0.23683637304656266,423,423,2024,rgb
raw_dark_channel,1.5311004784688995,"{""beta_0.005"": 0.2933333333333334, ""beta_0.01"": 0.3473333333333333, ""beta_0.02"": 0.426}",0.35555555555555557,"{""beta_0.005_vs_beta_0.01"": 0.12266666666666669, ""beta_0.005_vs_beta_0.02"": 0.3226666666666666, ""beta_0.01_vs_beta_0.02"": 0.25133333333333335}",0.23222222222222222,1.3263224791674335,0.052214376628398895,0.028929635882377625,0.039367783814668655,0.022999603301286697,1.5642261921518275,"{""beta_0.005"": 0.3892505380445348, ""beta_0.01"": 0.41810699892287645, ""beta_0.02"": 0.47154218390035196}",0.42629990695592107,"{""beta_0.005_vs_beta_0.01"": 0.11365589038581322, ""beta_0.005_vs_beta_0.02"": 0.3935602255182629, ""beta_0.01_vs_beta_0.02"": 0.31037645944363945}",0.2725308584492385,423,423,42,raw_dark_channel
raw_dark_channel,1.8954372623574147,"{""beta_0.005"": 0.23466666666666666, ""beta_0.01"": 0.20666666666666667, ""beta_0.02"": 0.22333333333333336}",0.2215555555555556,"{""beta_0.005_vs_beta_0.01"": 0.09133333333333332, ""beta_0.005_vs_beta_0.02"": 0.16533333333333333, ""beta_0.01_vs_beta_0.02"": 0.09400000000000001}",0.11688888888888889,1.624783954895472,0.0717008039355278,0.050507474690675735,0.04412943869829178,0.0320548377931118,2.3636034320244503,"{""beta_0.005"": 0.3030660978220442, ""beta_0.01"": 0.2743653942305919, ""beta_0.02"": 0.2919240711820547}",0.2897851877448969,"{""beta_0.005_vs_beta_0.01"": 0.08584271825977743, ""beta_0.005_vs_beta_0.02"": 0.18039185964651913, ""beta_0.01_vs_beta_0.02"": 0.10157482338996017}",0.12260313376541891,423,423,123,raw_dark_channel
raw_dark_channel,1.5373443983402488,"{""beta_0.005"": 0.3033333333333333, ""beta_0.01"": 0.31400000000000006, ""beta_0.02"": 0.3706666666666667}",0.3293333333333333,"{""beta_0.005_vs_beta_0.01"": 0.15533333333333335, ""beta_0.005_vs_beta_0.02"": 0.29200000000000004, ""beta_0.01_vs_beta_0.02"": 0.19533333333333336}",0.21422222222222223,1.3437690865803575,0.06414259225130081,0.04186372458934784,0.04773334413766861,0.03241877630352974,1.7547125899246192,"{""beta_0.005"": 0.3363887721450353, ""beta_0.01"": 0.3394347382957343, ""beta_0.02"": 0.38627307775603625}",0.35403219606560193,"{""beta_0.005_vs_beta_0.01"": 0.13505704240626729, ""beta_0.005_vs_beta_0.02"": 0.2876871012866973, ""beta_0.01_vs_beta_0.02"": 0.1825382223738524}",0.20176078868893899,423,423,456,raw_dark_channel
raw_dark_channel,0.9973357015985791,"{""beta_0.005"": 0.17799999999999996, ""beta_0.01"": 0.21333333333333337, ""beta_0.02"": 0.3573333333333333}",0.24955555555555553,"{""beta_0.005_vs_beta_0.01"": 0.14599999999999996, ""beta_0.005_vs_beta_0.02"": 0.3473333333333333, ""beta_0.01_vs_beta_0.02"": 0.25733333333333336}",0.2502222222222222,1.6821782674123318,0.06706202030181885,0.03931127116084099,0.03986617922782898,0.024056898429989815,1.0704246839465452,"{""beta_0.005"": 0.28111544297974844, ""beta_0.01"": 0.3101381705063717, ""beta_0.02"": 0.43080688226926755}",0.34068683191846255,"{""beta_0.005_vs_beta_0.01"": 0.15211017479771177, ""beta_0.005_vs_beta_0.02"": 0.46114253397625377, ""beta_0.01_vs_beta_0.02"": 0.3415650482186666}",0.31827258566421074,423,423,789,raw_dark_channel
raw_dark_channel,0.7790834312573441,"{""beta_0.005"": 0.284, ""beta_0.01"": 0.25266666666666665, ""beta_0.02"": 0.3473333333333333}",0.29466666666666663,"{""beta_0.005_vs_beta_0.01"": 0.2993333333333334, ""beta_0.005_vs_beta_0.02"": 0.5433333333333333, ""beta_0.01_vs_beta_0.02"": 0.292}",0.37822222222222224,1.4270488509822594,0.06735818088054657,0.04219688102602959,0.04720103368163109,0.030651172623038292,0.9010728797685097,"{""beta_0.005"": 0.3489347833415971, ""beta_0.01"": 0.33003484979131115, ""beta_0.02"": 0.41791449693409183}",0.3656280433556667,"{""beta_0.005_vs_beta_0.01"": 0.3294420927027716, ""beta_0.005_vs_beta_0.02"": 0.5861509671671974, ""beta_0.01_vs_beta_0.02"": 0.3017159444236628}",0.4057696680978773,423,423,2024,raw_dark_channel
raw_transmission,1.200525969756739,"{""beta_0.005"": 0.49466666666666664, ""beta_0.01"": 0.4120000000000001, ""beta_0.02"": 0.3106666666666667}",0.4057777777777778,"{""beta_0.005_vs_beta_0.01"": 0.2373333333333333, ""beta_0.005_vs_beta_0.02"": 0.4653333333333334, ""beta_0.01_vs_beta_0.02"": 0.31133333333333335}",0.338,1.2726246885803298,0.06578453630208969,0.036649562418460846,0.051692016422748566,0.032617755234241486,1.030331872649681,"{""beta_0.005"": 0.6045673273782476, ""beta_0.01"": 0.45349006982626455, ""beta_0.02"": 0.3487818984216561}",0.46894643187538937,"{""beta_0.005_vs_beta_0.01"": 0.31053060054585774, ""beta_0.005_vs_beta_0.02"": 0.649014373226626, ""beta_0.01_vs_beta_0.02"": 0.40587847178999464}",0.4551411485208261,423,423,42,raw_transmission
raw_transmission,1.1854974704890386,"{""beta_0.005"": 0.6133333333333333, ""beta_0.01"": 0.5, ""beta_0.02"": 0.2926666666666667}",0.4686666666666666,"{""beta_0.005_vs_beta_0.01"": 0.25133333333333335, ""beta_0.005_vs_beta_0.02"": 0.5566666666666666, ""beta_0.01_vs_beta_0.02"": 0.37799999999999995}",0.3953333333333333,1.0945969930381418,0.06409990042448044,0.04094799607992172,0.05856027454137802,0.037754129618406296,1.0657311139512704,"{""beta_0.005"": 0.6992090465635812, ""beta_0.01"": 0.541376063136518, ""beta_0.02"": 0.31400601956007024}",0.5181970430867231,"{""beta_0.005_vs_beta_0.01"": 0.32526003440888, ""beta_0.005_vs_beta_0.02"": 0.6914313018301274, ""beta_0.01_vs_beta_0.02"": 0.4420172525497887}",0.486236196262932,423,423,123,raw_transmission
raw_transmission,1.1288913162206444,"{""beta_0.005"": 0.6406666666666667, ""beta_0.01"": 0.48533333333333334, ""beta_0.02"": 0.252}",0.45933333333333337,"{""beta_0.005_vs_beta_0.01"": 0.30200000000000005, ""beta_0.005_vs_beta_0.02"": 0.5633333333333334, ""beta_0.01_vs_beta_0.02"": 0.35533333333333333}",0.4068888888888889,1.2968754771799644,0.052679356187582016,0.03300590068101883,0.04062021151185036,0.028381381183862686,1.1135431632490564,"{""beta_0.005"": 0.7332822404941552, ""beta_0.01"": 0.5417857532233277, ""beta_0.02"": 0.30523116080271884}",0.5267663848400672,"{""beta_0.005_vs_beta_0.01"": 0.31196039204855364, ""beta_0.005_vs_beta_0.02"": 0.6783299150856947, ""beta_0.01_vs_beta_0.02"": 0.42887260156635476}",0.47305430290020106,423,423,456,raw_transmission
raw_transmission,0.8875,"{""beta_0.005"": 0.5086666666666667, ""beta_0.01"": 0.33466666666666667, ""beta_0.02"": 0.15066666666666664}",0.3313333333333333,"{""beta_0.005_vs_beta_0.01"": 0.272, ""beta_0.005_vs_beta_0.02"": 0.5346666666666667, ""beta_0.01_vs_beta_0.02"": 0.3133333333333333}",0.37333333333333335,1.0352027447518162,0.05446980893611908,0.03537239879369736,0.052617527544498444,0.032503098249435425,0.896195128525765,"{""beta_0.005"": 0.585631242481467, ""beta_0.01"": 0.380350714126115, ""beta_0.02"": 0.1860844683574925}",0.38402214165502485,"{""beta_0.005_vs_beta_0.01"": 0.28237070266664543, ""beta_0.005_vs_beta_0.02"": 0.6223749813921765, ""beta_0.01_vs_beta_0.02"": 0.38076278200505426}",0.4285028220212921,423,423,789,raw_transmission
