gate_input,ks_ratio_real_synth_over_synth_synth,ks_real_synth_by_beta,ks_real_synth_mean,ks_synth_synth_by_beta_pair,ks_synth_synth_mean,l2_ratio_real_synth_over_synth_synth,l2_real_synth_mean,l2_real_synth_std,l2_synth_synth_mean,l2_synth_synth_std,mmd_ratio_real_synth_over_synth_synth,mmd_real_synth_by_beta,mmd_real_synth_mean,mmd_synth_synth_by_beta_pair,mmd_synth_synth_mean,n_real_synth_pairs,n_synth_synth_pairs,seed,variant
rgb,1.8670634920634919,"{""beta_0.005"": 0.32355555555555554, ""beta_0.01"": 0.3293333333333333, ""beta_0.02"": 0.39266666666666666}",0.3485185185185185,"{""beta_0.005_vs_beta_0.01"": 0.11266666666666664, ""beta_0.005_vs_beta_0.02"": 0.264, ""beta_0.01_vs_beta_0.02"": 0.18333333333333335}",0.18666666666666668,1.9316554910168855,0.09804204106330872,0.0509677529335022,0.05075544863939285,0.026834804564714432,1.9510341905010957,"{""beta_0.005"": 0.404106583273386, ""beta_0.01"": 0.4246524326784489, ""beta_0.02"": 0.48855289293755894}",0.439103969629798,"{""beta_0.005_vs_beta_0.01"": 0.11631054832857926, ""beta_0.005_vs_beta_0.02"": 0.3334342140286387, ""beta_0.01_vs_beta_0.02"": 0.2254417183835736}",0.22506216024693051,427,281,42,rgb
rgb,3.199705014749263,"{""beta_0.005"": 0.424, ""beta_0.01"": 0.40488888888888885, ""beta_0.02"": 0.37633333333333335}",0.40174074074074073,"{""beta_0.005_vs_beta_0.01"": 0.09999999999999998, ""beta_0.005_vs_beta_0.02"": 0.17066666666666666, ""beta_0.01_vs_beta_0.02"": 0.10599999999999997}",0.12555555555555553,1.9326828900846598,0.11527112871408463,0.06157251074910164,0.05964306369423866,0.04051172360777855,3.9104352421526833,"{""beta_0.005"": 0.508358735816872, ""beta_0.01"": 0.4733464135003603, ""beta_0.02"": 0.4328187387408083}",0.47150796268601347,"{""beta_0.005_vs_beta_0.01"": 0.09338857589442008, ""beta_0.005_vs_beta_0.02"": 0.17516826050226622, ""beta_0.01_vs_beta_0.02"": 0.09317371288082815}",0.12057684975917149,427,280,123,rgb
rgb,1.6888396156688839,"{""beta_0.005"": 0.29633333333333334, ""beta_0.01"": 0.3202222222222222, ""beta_0.02"": 0.399}",0.3385185185185185,"{""beta_0.005_vs_beta_0.01"": 0.136, ""beta_0.005_vs_beta_0.02"": 0.2886666666666667, ""beta_0.01_vs_beta_0.02"": 0.17666666666666667}",0.20044444444444445,1.6420844221064514,0.11392856389284134,0.06012347340583801,0.06938045471906662,0.048322539776563644,1.8567708646667413,"{""beta_0.005"": 0.38999921375761243, ""beta_0.01"": 0.41324980272770456, ""beta_0.02"": 0.49395487370626756}",0.4324012967305282,"{""beta_0.005_vs_beta_0.01"": 0.13700448822582334, ""beta_0.005_vs_beta_0.02"": 0.3466865045610208, ""beta_0.01_vs_beta_0.02"": 0.21494334862631154}",0.23287811380438525,427,246,456,rgb
rgb,2.070163789287295,"{""beta_0.005"": 0.3665555555555556, ""beta_0.01"": 0.33166666666666667, ""beta_0.02"": 0.341}",0.34640740740740744,"{""beta_0.005_vs_beta_0.01"": 0.09400000000000001, ""beta_0.005_vs_beta_0.02"": 0.2386666666666667, ""beta_0.01_vs_beta_0.02"": 0.16933333333333336}",0.16733333333333336,1.7077701517204924,0.09454779326915741,0.05124989151954651,0.05536330118775368,0.03592922165989876,2.4344337313224536,"{""beta_0.005"": 0.43914163600045186, ""beta_0.01"": 0.40237929587464416, ""beta_0.02"": 0.4008396628118357}",0.4141201982289773,"{""beta_0.005_vs_beta_0.01"": 0.08805480132963045, ""beta_0.005_vs_beta_0.02"": 0.24932845793348005, ""beta_0.01_vs_beta_0.02"": 0.17294510938467617}",0.17010945621592888,427,314,789,rgb
rgb,2.29718660968661,"{""beta_0.005"": 0.44155555555555565, ""beta_0.01"": 0.484, ""beta_0.02"": 0.507888888888889}",0.47781481481481486,"{""beta_0.005_vs_beta_0.01"": 0.156, ""beta_0.005_vs_beta_0.02"": 0.28933333333333333, ""beta_0.01_vs_beta_0.02"": 0.17866666666666667}",0.208,3.0324819905746394,0.10936395823955536,0.06202060356736183,0.03606417402625084,0.02382480353116989,2.353147938895606,"{""beta_0.005"": 0.5416926616166111, ""beta_0.01"": 0.5592035915832358, ""beta_0.02"": 0.5710707963310708}",0.5573223498436393,"{""beta_0.005_vs_beta_0.01"": 0.1679761480397513, ""beta_0.005_vs_beta_0.02"": 0.3397614427726259, ""beta_0.01_vs_beta_0.02"": 0.20278596866923193}",0.23684118649386968,427,290,2024,rgb
raw_dark_channel,1.5760765550239237,"{""beta_0.005"": 0.3096666666666667, ""beta_0.01"": 0.3552222222222223, ""beta_0.02"": 0.43311111111111106}",0.36600000000000005,"{""beta_0.005_vs_beta_0.01"": 0.12266666666666669, ""beta_0.005_vs_beta_0.02"": 0.3226666666666666, ""beta_0.01_vs_beta_0.02"": 0.25133333333333335}",0.23222222222222222,1.3892580973051643,0.05487706884741783,0.030794300138950348,0.03950098901987076,0.025155119597911835,1.6219756390438396,"{""beta_0.005"": 0.40571964570734487, ""beta_0.01"": 0.43506516441063675, ""beta_0.02"": 0.4852525669729563}",0.44201245903031267,"{""beta_0.005_vs_beta_0.01"": 0.113650182543186, ""beta_0.005_vs_beta_0.02"": 0.393537752319128, ""beta_0.01_vs_beta_0.02"": 0.3103566355805822}",0.27251485681429877,427,281,42,raw_dark_channel
raw_dark_channel,1.9885931558935361,"{""beta_0.005"": 0.24100000000000002, ""beta_0.01"": 0.21644444444444444, ""beta_0.02"": 0.2398888888888889}",0.23244444444444445,"{""beta_0.005_vs_beta_0.01"": 0.09133333333333332, ""beta_0.005_vs_beta_0.02"": 0.16533333333333333, ""beta_0.01_vs_beta_0.02"": 0.09400000000000001}",0.11688888888888889,1.5257912927622168,0.06908641755580902,0.04451538994908333,0.04527907446026802,0.033355340361595154,2.438588877090911,"{""beta_0.005"": 0.30598774769485515, ""beta_0.01"": 0.2835728948922566, ""beta_0.02"": 0.3074345790281813}",0.2989984072050977,"{""beta_0.005_vs_beta_0.01"": 0.08584543084426595, ""beta_0.005_vs_beta_0.02"": 0.18040385874016662, ""beta_0.01_vs_beta_0.02"": 0.1015844318115881}",0.12261124046534022,427,280,123,raw_dark_channel
raw_dark_channel,1.6244813278008299,"{""beta_0.005"": 0.3168888888888889, ""beta_0.01"": 0.3321111111111111, ""beta_0.02"": 0.395}",0.34800000000000003,"{""beta_0.005_vs_beta_0.01"": 0.15533333333333335, ""beta_0.005_vs_beta_0.02"": 0.29200000000000004, ""beta_0.01_vs_beta_0.02"": 0.19533333333333336}",0.21422222222222223,1.3701649791215962,0.06384971737861633,0.040351852774620056,0.04660002142190933,0.029892826452851295,1.9071499730245092,"{""beta_0.005"": 0.3641881706083418, ""beta_0.01"": 0.37446144705927414, ""beta_0.02"": 0.41574577577892613}",0.3847984644821807,"{""beta_0.005_vs_beta_0.01"": 0.1350607896637696, ""beta_0.005_vs_beta_0.02"": 0.28769481278416004, ""beta_0.01_vs_beta_0.02"": 0.18254309444259892}",0.20176623229684285,427,246,456,raw_dark_channel
raw_dark_channel,0.9712847838957964,"{""beta_0.005"": 0.16233333333333336, ""beta_0.01"": 0.217, ""beta_0.02"": 0.34977777777777774}",0.24303703703703702,"{""beta_0.005_vs_beta_0.01"": 0.14599999999999996, ""beta_0.005_vs_beta_0.02"": 0.3473333333333333, ""beta_0.01_vs_beta_0.02"": 0.25733333333333336}",0.2502222222222222,1.643468082360965,0.06376969814300537,0.03742291033267975,0.03880190849304199,0.023862743750214577,1.0646797271093826,"{""beta_0.005"": 0.2704994792971431, ""beta_0.01"": 0.30931112342405015, ""beta_0.02"": 0.43675157926252656}",0.33885406066123996,"{""beta_0.005_vs_beta_0.01"": 0.15210967066349732, ""beta_0.005_vs_beta_0.02"": 0.46113679499717214, ""beta_0.01_vs_beta_0.02"": 0.34155914968029094}",0.31826853844698677,427,314,789,raw_dark_channel
raw_dark_channel,0.7792792792792793,"{""beta_0.005"": 0.27644444444444444, ""beta_0.01"": 0.25022222222222223, ""beta_0.02"": 0.35755555555555557}",0.29474074074074075,"{""beta_0.005_vs_beta_0.01"": 0.2993333333333334, ""beta_0.005_vs_beta_0.02"": 0.5433333333333333, ""beta_0.01_vs_beta_0.02"": 0.292}",0.37822222222222224,1.4681205868694935,0.06946409493684769,0.04214732348918915,0.04731497913599014,0.03123810887336731,0.8935843725347246,"{""beta_0.005"": 0.33296110148526226, ""beta_0.01"": 0.3289137228660425, ""beta_0.02"": 0.42589519306255547}",0.3625900058046201,"{""beta_0.005_vs_beta_0.01"": 0.32944236647122993, ""beta_0.005_vs_beta_0.02"": 0.5861513976128786, ""beta_0.01_vs_beta_0.02"": 0.3017171590336631}",0.40577030770592387,427,290,2024,raw_dark_channel
