path,dataset,beta
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_250.png,rtts,1.19381928
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_494.png,rtts,1.23291302
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_525.png,rtts,0.27786526
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/AM_Google_707.png,rtts,1.42438865
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_022.png,rtts,0.49912536
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_084.png,rtts,0.89536870
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_145.png,rtts,0.91487473
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_18.png,rtts,0.77338302
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_216.png,rtts,0.50543916
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_224.png,rtts,1.13333476
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_249.png,rtts,1.57382524
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_250.png,rtts,1.09649396
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_332.png,rtts,1.33448386
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_338.png,rtts,1.21749830
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Baidu_461.png,rtts,0.51756191
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_097.png,rtts,1.50245261
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_216.png,rtts,0.50468695
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_331.png,rtts,0.53663141
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_49.png,rtts,0.77600944
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Bing_763.png,rtts,0.42889467
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Google_380.png,rtts,0.46176916
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Google_396.png,rtts,0.68902677
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BD_Google_421.png,rtts,0.25579053
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_1081.png,rtts,1.17598724
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_1191.png,rtts,0.96784866
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_1202.png,rtts,0.95756400
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_126.png,rtts,0.75754416
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_165.png,rtts,1.05726159
~/project/可见度识别研究/数据集_prepared/low_visibility_kd/external_eval/rtts_yolo/images/test/BJ_Baidu_173.png,rtts,1.04212213
