gate_input,ks_ratio_real_synth_over_synth_synth,ks_real_synth_by_beta,ks_real_synth_mean,ks_synth_synth_by_beta_pair,ks_synth_synth_mean,l2_ratio_real_synth_over_synth_synth,l2_real_synth_mean,l2_real_synth_std,l2_synth_synth_mean,l2_synth_synth_std,mmd_ratio_real_synth_over_synth_synth,mmd_real_synth_by_beta,mmd_real_synth_mean,mmd_synth_synth_by_beta_pair,mmd_synth_synth_mean,n_real_synth_pairs,n_synth_synth_pairs,seed,variant
rgb,1.9011904761904759,"{""beta_0.005"": 0.332, ""beta_0.01"": 0.3393333333333333, ""beta_0.02"": 0.39333333333333337}",0.35488888888888886,"{""beta_0.005_vs_beta_0.01"": 0.11266666666666664, ""beta_0.005_vs_beta_0.02"": 0.264, ""beta_0.01_vs_beta_0.02"": 0.18333333333333335}",0.18666666666666668,1.9973729146343846,0.10050268471240997,0.05507765710353851,0.0503174364566803,0.02821878157556057,1.9551104612121228,"{""beta_0.005"": 0.4079006471800458, ""beta_0.01"": 0.42529065823209455, ""beta_0.02"": 0.48688353690479297}",0.44002494743897774,"{""beta_0.005_vs_beta_0.01"": 0.11631233746717219, ""beta_0.005_vs_beta_0.02"": 0.3334354948281639, ""beta_0.01_vs_beta_0.02"": 0.22544411644934892}",0.22506398291489502,423,423,42,rgb
rgb,3.2283185840707973,"{""beta_0.005"": 0.4286666666666667, ""beta_0.01"": 0.41066666666666674, ""beta_0.02"": 0.3766666666666667}",0.4053333333333334,"{""beta_0.005_vs_beta_0.01"": 0.09999999999999998, ""beta_0.005_vs_beta_0.02"": 0.17066666666666666, ""beta_0.01_vs_beta_0.02"": 0.10599999999999997}",0.12555555555555553,1.904847178715905,0.11714354902505875,0.06560064852237701,0.061497610062360764,0.03757230564951897,3.975418359519978,"{""beta_0.005"": 0.5155790337420901, ""beta_0.01"": 0.48107583027346296, ""beta_0.02"": 0.4413841894448519}",0.4793463511534683,"{""beta_0.005_vs_beta_0.01"": 0.0933886084888649, ""beta_0.005_vs_beta_0.02"": 0.17516942816242365, ""beta_0.01_vs_beta_0.02"": 0.09317472287494272}",0.12057758650874374,423,423,123,rgb
rgb,1.6574279379157428,"{""beta_0.005"": 0.29, ""beta_0.01"": 0.3093333333333334, ""beta_0.02"": 0.3973333333333333}",0.33222222222222225,"{""beta_0.005_vs_beta_0.01"": 0.136, ""beta_0.005_vs_beta_0.02"": 0.2886666666666667, ""beta_0.01_vs_beta_0.02"": 0.17666666666666667}",0.20044444444444445,1.6077971255040857,0.11202578991651535,0.05904720723628998,0.06967657059431076,0.04532215744256973,1.806264504845459,"{""beta_0.005"": 0.3791953109285115, ""beta_0.01"": 0.3995917829853, ""beta_0.02"": 0.48318032747399803}",0.42065580712926987,"{""beta_0.005_vs_beta_0.01"": 0.13701021481449516, ""beta_0.005_vs_beta_0.02"": 0.3467001108189785, ""beta_0.01_vs_beta_0.02"": 0.21495114836575188}",0.23288715799974183,423,423,456,rgb
rgb,2.1142098273572376,"{""beta_0.005"": 0.37000000000000005, ""beta_0.01"": 0.34400000000000003, ""beta_0.02"": 0.3473333333333333}",0.3537777777777778,"{""beta_0.005_vs_beta_0.01"": 0.09400000000000001, ""beta_0.005_vs_beta_0.02"": 0.2386666666666667, ""beta_0.01_vs_beta_0.02"": 0.16933333333333336}",0.16733333333333336,1.7528856231319037,0.09608805924654007,0.05710135027766228,0.0548170730471611,0.03887481242418289,2.4459660626408164,"{""beta_0.005"": 0.4409803463651703, ""beta_0.01"": 0.40385159771925166, ""beta_0.02"": 0.4033861707853095}",0.41607270495657717,"{""beta_0.005_vs_beta_0.01"": 0.08805170480863045, ""beta_0.005_vs_beta_0.02"": 0.24932264902459694, ""beta_0.01_vs_beta_0.02"": 0.17294266729587113}",0.1701056737096995,423,423,789,rgb
rgb,2.18482905982906,"{""beta_0.005"": 0.42266666666666675, ""beta_0.01"": 0.45999999999999996, ""beta_0.02"": 0.48066666666666674}",0.4544444444444445,"{""beta_0.005_vs_beta_0.01"": 0.156, ""beta_0.005_vs_beta_0.02"": 0.28933333333333333, ""beta_0.01_vs_beta_0.02"": 0.17866666666666667}",0.208,2.9496461370058045,0.10817407071590424,0.06417843699455261,0.03667357563972473,0.02486114203929901,2.324132601975609,"{""beta_0.005"": 0.5402436742743002, ""beta_0.01"": 0.5519031188413828, ""beta_0.02"": 0.559170614677838}",0.5504391359311737,"{""beta_0.005_vs_beta_0.01"": 0.16797176007477055, ""beta_0.005_vs_beta_0.02"": 0.33975456425578815, ""beta_0.01_vs_beta_0.02"": 0.20278279480912914}",0.23683637304656266,423,423,2024,rgb
rgb_gray,1.061739943872778,"{""beta_0.005"": 0.2373333333333333, ""beta_0.01"": 0.22799999999999998, ""beta_0.02"": 0.29133333333333333}",0.2522222222222222,"{""beta_0.005_vs_beta_0.01"": 0.1366666666666667, ""beta_0.005_vs_beta_0.02"": 0.34333333333333343, ""beta_0.01_vs_beta_0.02"": 0.2326666666666667}",0.2375555555555556,2.004858032825634,0.08423960208892822,0.05383746325969696,0.04201773926615715,0.026034487411379814,1.350473348036701,"{""beta_0.005"": 0.3831348321116624, ""beta_0.01"": 0.34829898091615275, ""beta_0.02"": 0.4028131598035453}",0.37808232427712013,"{""beta_0.005_vs_beta_0.01"": 0.16047289347461197, ""beta_0.005_vs_beta_0.02"": 0.4095414924484275, ""beta_0.01_vs_beta_0.02"": 0.2698740683587961}",0.27996281809394524,423,423,42,rgb_gray
rgb_gray,1.5774099318403112,"{""beta_0.005"": 0.3873333333333333, ""beta_0.01"": 0.3473333333333333, ""beta_0.02"": 0.3453333333333333}",0.35999999999999993,"{""beta_0.005_vs_beta_0.01"": 0.13333333333333333, ""beta_0.005_vs_beta_0.02"": 0.332, ""beta_0.01_vs_beta_0.02"": 0.21933333333333335}",0.22822222222222224,1.7881121536937827,0.06798359751701355,0.042182836681604385,0.03801976144313812,0.0243369247764349,1.592797424034158,"{""beta_0.005"": 0.45369675268119725, ""beta_0.01"": 0.41661505694345097, ""beta_0.02"": 0.4095975429407876}",0.4266364508551453,"{""beta_0.005_vs_beta_0.01"": 0.14297429548009258, ""beta_0.005_vs_beta_0.02"": 0.3970678335253501, ""beta_0.01_vs_beta_0.02"": 0.2635185330426822}",0.2678535540160416,423,423,123,rgb_gray
rgb_gray,1.1477495107632092,"{""beta_0.005"": 0.22866666666666668, ""beta_0.01"": 0.25466666666666665, ""beta_0.02"": 0.2986666666666667}",0.26066666666666666,"{""beta_0.005_vs_beta_0.01"": 0.19066666666666668, ""beta_0.005_vs_beta_0.02"": 0.31266666666666665, ""beta_0.01_vs_beta_0.02"": 0.17800000000000002}",0.22711111111111112,1.925008859551223,0.061800241470336914,0.038540471345186234,0.032103873789310455,0.017457909882068634,1.2957550778972058,"{""beta_0.005"": 0.37234681369447103, ""beta_0.01"": 0.3686676265646478, ""beta_0.02"": 0.3657078373558462}",0.368907425871655,"{""beta_0.005_vs_beta_0.01"": 0.2314508599981989, ""beta_0.005_vs_beta_0.02"": 0.41059949735138196, ""beta_0.01_vs_beta_0.02"": 0.21206343042811446}",0.2847045959258984,423,423,456,rgb_gray
rgb_gray,0.9679186228482003,"{""beta_0.005"": 0.31466666666666665, ""beta_0.01"": 0.2346666666666667, ""beta_0.02"": 0.2753333333333334}",0.2748888888888889,"{""beta_0.005_vs_beta_0.01"": 0.214, ""beta_0.005_vs_beta_0.02"": 0.37066666666666664, ""beta_0.01_vs_beta_0.02"": 0.26733333333333337}",0.28400000000000003,1.9030254427790407,0.07798823714256287,0.04863142967224121,0.04098118469119072,0.0227403175085783,1.0728738813193852,"{""beta_0.005"": 0.39298472434198173, ""beta_0.01"": 0.3618351338701427, ""beta_0.02"": 0.39106115927780305}",0.3819603391633091,"{""beta_0.005_vs_beta_0.01"": 0.24617363786027693, ""beta_0.005_vs_beta_0.02"": 0.4944498564089528, ""beta_0.01_vs_beta_0.02"": 0.3274247054695508}",0.3560160665795935,423,423,789,rgb_gray
rgb_gray,0.9800995024875621,"{""beta_0.005"": 0.218, ""beta_0.01"": 0.24933333333333332, ""beta_0.02"": 0.3206666666666667}",0.26266666666666666,"{""beta_0.005_vs_beta_0.01"": 0.18200000000000002, ""beta_0.005_vs_beta_0.02"": 0.3766666666666667, ""beta_0.01_vs_beta_0.02"": 0.24533333333333332}",0.268,1.8769427462640231,0.09675756096839905,0.05877438187599182,0.051550619304180145,0.03289046883583069,1.0747370615734266,"{""beta_0.005"": 0.3191917890908263, ""beta_0.01"": 0.3203770461565698, ""beta_0.02"": 0.3836751753175038}",0.3410813368549666,"{""beta_0.005_vs_beta_0.01"": 0.1991598548142479, ""beta_0.005_vs_beta_0.02"": 0.4382219315758537, ""beta_0.01_vs_beta_0.02"": 0.3147059820049509}",0.3173625894650175,423,423,2024,rgb_gray
rgb_sobel_mag,1.6023688663282571,"{""beta_0.005"": 0.254, ""beta_0.01"": 0.2153333333333333, ""beta_0.02"": 0.16200000000000003}",0.21044444444444443,"{""beta_0.005_vs_beta_0.01"": 0.08800000000000004, ""beta_0.005_vs_beta_0.02"": 0.18266666666666662, ""beta_0.01_vs_beta_0.02"": 0.12333333333333335}",0.13133333333333333,1.3236277353320993,0.07397228479385376,0.04076933115720749,0.05588601902127266,0.03387952223420143,1.8893612343293136,"{""beta_0.005"": 0.3031813592163066, ""beta_0.01"": 0.26766588450238654, ""beta_0.02"": 0.22984793791235653}",0.2668983938770166,"{""beta_0.005_vs_beta_0.01"": 0.07926858149503206, ""beta_0.005_vs_beta_0.02"": 0.21016638051813477, ""beta_0.01_vs_beta_0.02"": 0.13435651157196846}",0.1412638245283784,423,423,42,rgb_sobel_mag
rgb_sobel_mag,3.1647727272727275,"{""beta_0.005"": 0.41466666666666674, ""beta_0.01"": 0.38533333333333336, ""beta_0.02"": 0.314}",0.37133333333333335,"{""beta_0.005_vs_beta_0.01"": 0.06266666666666666, ""beta_0.005_vs_beta_0.02"": 0.16133333333333333, ""beta_0.01_vs_beta_0.02"": 0.128}",0.11733333333333333,1.4699458952642412,0.0880957692861557,0.049897655844688416,0.059931300580501556,0.03425301983952522,3.25914594682657,"{""beta_0.005"": 0.48501322815587505, ""beta_0.01"": 0.45287887456234494, ""beta_0.02"": 0.37073111092487915}",0.436207737881033,"{""beta_0.005_vs_beta_0.01"": 0.05866920118620744, ""beta_0.005_vs_beta_0.02"": 0.19981643188846887, ""beta_0.01_vs_beta_0.02"": 0.14303772150762004}",0.1338411181940988,423,423,123,rgb_sobel_mag
rgb_sobel_mag,1.5561993047508689,"{""beta_0.005"": 0.34600000000000003, ""beta_0.01"": 0.30866666666666664, ""beta_0.02"": 0.2406666666666667}",0.29844444444444446,"{""beta_0.005_vs_beta_0.01"": 0.11199999999999999, ""beta_0.005_vs_beta_0.02"": 0.2733333333333334, ""beta_0.01_vs_beta_0.02"": 0.18999999999999997}",0.1917777777777778,1.2508802021645715,0.07479261606931686,0.05000755563378334,0.059791989624500275,0.03771403804421425,1.7742150102771577,"{""beta_0.005"": 0.43112035823763994, ""beta_0.01"": 0.37941052858480756, ""beta_0.02"": 0.28494474261951663}",0.3651585431473214,"{""beta_0.005_vs_beta_0.01"": 0.10658721548155277, ""beta_0.005_vs_beta_0.02"": 0.3039229890226823, ""beta_0.01_vs_beta_0.02"": 0.206932226709801}",0.20581414373801202,423,423,456,rgb_sobel_mag
rgb_sobel_mag,5.600858369098711,"{""beta_0.005"": 0.2933333333333333, ""beta_0.01"": 0.2913333333333333, ""beta_0.02"": 0.2853333333333334}",0.29,"{""beta_0.005_vs_beta_0.01"": 0.03799999999999998, ""beta_0.005_vs_beta_0.02"": 0.0646666666666667, ""beta_0.01_vs_beta_0.02"": 0.052666666666666674}",0.051777777777777784,1.371977466993186,0.07831941545009613,0.044115789234638214,0.0570850595831871,0.03377688676118851,5.6027846195903175,"{""beta_0.005"": 0.332814294212085, ""beta_0.01"": 0.3445342698524361, ""beta_0.02"": 0.3551645303159463}",0.3441710314601558,"{""beta_0.005_vs_beta_0.01"": 0.03685364391229615, ""beta_0.005_vs_beta_0.02"": 0.09126814957174727, ""beta_0.01_vs_beta_0.02"": 0.05616390808839471}",0.06142856719081271,423,423,789,rgb_sobel_mag
