variant,signal,dataset,seed,map50
rgb,RGB condition,beta_0.005,42,0.45379429712886593
rgb,RGB condition,beta_0.005,123,0.4590375485746869
rgb,RGB condition,beta_0.005,456,0.45728655135009266
rgb,RGB condition,beta_0.005,789,0.45220802528945014
rgb,RGB condition,beta_0.005,2024,0.4481205872138111
rgb,RGB condition,beta_0.01,42,0.4525001853020453
rgb,RGB condition,beta_0.01,123,0.45695989852255386
rgb,RGB condition,beta_0.01,456,0.44821208136699797
rgb,RGB condition,beta_0.01,789,0.4461411673009415
rgb,RGB condition,beta_0.01,2024,0.4470900472633818
rgb,RGB condition,beta_0.02,42,0.43983671155260123
rgb,RGB condition,beta_0.02,123,0.4476996153405334
rgb,RGB condition,beta_0.02,456,0.43381631486382083
rgb,RGB condition,beta_0.02,789,0.4384940517198355
rgb,RGB condition,beta_0.02,2024,0.42274195005348203
rgb,RGB condition,rtts,42,0.33447196614227787
rgb,RGB condition,rtts,123,0.33360481561136296
rgb,RGB condition,rtts,456,0.35722726871578975
rgb,RGB condition,rtts,789,0.33387684623163727
rgb,RGB condition,rtts,2024,0.3225088159474621
rgb,RGB condition,foggy_driving,42,0.192520904424343
rgb,RGB condition,foggy_driving,123,0.1838206855277391
rgb,RGB condition,foggy_driving,456,0.19124645430696655
rgb,RGB condition,foggy_driving,789,0.18860285769725377
rgb,RGB condition,foggy_driving,2024,0.17395421212960407
rgb_gray,RGB grayscale control,beta_0.005,42,0.4590822507465778
rgb_gray,RGB grayscale control,beta_0.005,123,0.45752222770717527
rgb_gray,RGB grayscale control,beta_0.005,456,0.4322545150210012
rgb_gray,RGB grayscale control,beta_0.005,789,0.4558975826232835
rgb_gray,RGB grayscale control,beta_0.005,2024,0.4681356733434918
rgb_gray,RGB grayscale control,beta_0.01,42,0.4521626088820989
rgb_gray,RGB grayscale control,beta_0.01,123,0.4586238276335881
rgb_gray,RGB grayscale control,beta_0.01,456,0.42555509507453426
rgb_gray,RGB grayscale control,beta_0.01,789,0.4489198531770634
rgb_gray,RGB grayscale control,beta_0.01,2024,0.45663934917971394
rgb_gray,RGB grayscale control,beta_0.02,42,0.4410586289851136
rgb_gray,RGB grayscale control,beta_0.02,123,0.4451353168484912
rgb_gray,RGB grayscale control,beta_0.02,456,0.4096955569031567
rgb_gray,RGB grayscale control,beta_0.02,789,0.43688073105379494
rgb_gray,RGB grayscale control,beta_0.02,2024,0.43977717578959985
rgb_gray,RGB grayscale control,rtts,42,0.32413546391905995
rgb_gray,RGB grayscale control,rtts,123,0.3261978744042451
rgb_gray,RGB grayscale control,rtts,456,0.3536548643430765
rgb_gray,RGB grayscale control,rtts,789,0.3277942507774647
rgb_gray,RGB grayscale control,rtts,2024,0.32536039176160386
rgb_gray,RGB grayscale control,foggy_driving,42,0.1724492277687477
rgb_gray,RGB grayscale control,foggy_driving,123,0.20750943804282088
rgb_gray,RGB grayscale control,foggy_driving,456,0.17444354893399205
rgb_gray,RGB grayscale control,foggy_driving,789,0.22678771798576372
rgb_gray,RGB grayscale control,foggy_driving,2024,0.1916503383823917
rgb_sobel_mag,RGB Sobel edge control,beta_0.005,42,0.4550085163566657
rgb_sobel_mag,RGB Sobel edge control,beta_0.005,123,0.45774980059119785
rgb_sobel_mag,RGB Sobel edge control,beta_0.005,456,0.4530625013883167
rgb_sobel_mag,RGB Sobel edge control,beta_0.005,789,0.4526855772049693
rgb_sobel_mag,RGB Sobel edge control,beta_0.005,2024,0.46038365731034275
rgb_sobel_mag,RGB Sobel edge control,beta_0.01,42,0.45239859203477817
rgb_sobel_mag,RGB Sobel edge control,beta_0.01,123,0.45042524034224535
rgb_sobel_mag,RGB Sobel edge control,beta_0.01,456,0.44805217191232727
rgb_sobel_mag,RGB Sobel edge control,beta_0.01,789,0.4502527157155169
rgb_sobel_mag,RGB Sobel edge control,beta_0.01,2024,0.45509852475873835
rgb_sobel_mag,RGB Sobel edge control,beta_0.02,42,0.4395685013269267
rgb_sobel_mag,RGB Sobel edge control,beta_0.02,123,0.4295485030404087
rgb_sobel_mag,RGB Sobel edge control,beta_0.02,456,0.440390756482221
rgb_sobel_mag,RGB Sobel edge control,beta_0.02,789,0.43755404415619126
rgb_sobel_mag,RGB Sobel edge control,beta_0.02,2024,0.44276636743287484
rgb_sobel_mag,RGB Sobel edge control,rtts,42,0.3230531966943327
rgb_sobel_mag,RGB Sobel edge control,rtts,123,0.31874031517316403
rgb_sobel_mag,RGB Sobel edge control,rtts,456,0.34934493022711544
rgb_sobel_mag,RGB Sobel edge control,rtts,789,0.3342033229816679
