di_ks,di_mmd,dose,family,gate_input,ks_denominator_synth_cross,ks_numerator_real_synth,mmd_cross_by_beta_pair,mmd_denominator_synth_cross,mmd_numerator_real_synth,mmd_real_by_beta,seed,variant
1.8670634920634919,1.9510341905010957,0,colorbias,rgb,0.18666666666666668,0.3485185185185185,"{""beta_0.005_vs_beta_0.01"": 0.11631054832857926, ""beta_0.005_vs_beta_0.02"": 0.3334342140286387, ""beta_0.01_vs_beta_0.02"": 0.2254417183835736}",0.22506216024693051,0.439103969629798,"{""beta_0.005"": 0.404106583273386, ""beta_0.01"": 0.4246524326784489, ""beta_0.02"": 0.48855289293755894}",42,rgb
1.4090462143559492,1.5678145214859256,1,colorbias,rgb,0.22599999999999998,0.3184444444444445,"{""beta_0.005_vs_beta_0.01"": 0.1932245219428638, ""beta_0.005_vs_beta_0.02"": 0.3842711843287782, ""beta_0.01_vs_beta_0.02"": 0.200587222098517}",0.2593609761233863,0.4066299046730095,"{""beta_0.005"": 0.34148448907296797, ""beta_0.01"": 0.3952271591285739, ""beta_0.02"": 0.4831780658174868}",42,rgb
1.6219512195121948,1.6647254608068893,2,colorbias,rgb,0.2642222222222223,0.4285555555555556,"{""beta_0.005_vs_beta_0.01"": 0.2608283358089069, ""beta_0.005_vs_beta_0.02"": 0.4537079447673716, ""beta_0.01_vs_beta_0.02"": 0.224074024084154}",0.3128701015534775,0.5208428239813111,"{""beta_0.005"": 0.4351493671806017, ""beta_0.01"": 0.5252459979018598, ""beta_0.02"": 0.6021331068614717}",42,rgb
2.0255405084343074,2.1126813027871583,3,colorbias,rgb,0.31177777777777776,0.6315185185185185,"{""beta_0.005_vs_beta_0.01"": 0.3240612689493737, ""beta_0.005_vs_beta_0.02"": 0.48919651863704466, ""beta_0.01_vs_beta_0.02"": 0.21818040704004238}",0.3438127315421536,0.7263667295892885,"{""beta_0.005"": 0.6404208659302333, ""beta_0.01"": 0.7503642626861183, ""beta_0.02"": 0.788315060151514}",42,rgb
3.305613668061367,3.3678754407490925,4,colorbias,rgb,0.21244444444444444,0.7022592592592592,"{""beta_0.005_vs_beta_0.01"": 0.10021840446906395, ""beta_0.005_vs_beta_0.02"": 0.329358094034295, ""beta_0.01_vs_beta_0.02"": 0.2866032911484912}",0.2387265965506167,0.804001441576439,"{""beta_0.005"": 0.8108951852713394, ""beta_0.01"": 0.8142830558871244, ""beta_0.02"": 0.7868260835708534}",42,rgb
1.8670634920634919,1.9510341905010957,0,noise,rgb,0.18666666666666668,0.3485185185185185,"{""beta_0.005_vs_beta_0.01"": 0.11631054832857926, ""beta_0.005_vs_beta_0.02"": 0.3334342140286387, ""beta_0.01_vs_beta_0.02"": 0.2254417183835736}",0.22506216024693051,0.439103969629798,"{""beta_0.005"": 0.404106583273386, ""beta_0.01"": 0.4246524326784489, ""beta_0.02"": 0.48855289293755894}",42,rgb
1.8725139220365952,1.9545809198283026,1,noise,rgb,0.1862222222222222,0.3487037037037037,"{""beta_0.005_vs_beta_0.01"": 0.11629613433685862, ""beta_0.005_vs_beta_0.02"": 0.33266612860363864, ""beta_0.01_vs_beta_0.02"": 0.22460669374841866}",0.22452298556297198,0.4388483436442705,"{""beta_0.005"": 0.403919948809426, ""beta_0.01"": 0.424484314276228, ""beta_0.02"": 0.4881407678471573}",42,rgb
1.8800080128205126,1.9624113910411667,2,noise,rgb,0.18488888888888888,0.3475925925925925,"{""beta_0.005_vs_beta_0.01"": 0.1146950384971479, ""beta_0.005_vs_beta_0.02"": 0.33086359704886326, ""beta_0.01_vs_beta_0.02"": 0.22412844824522185}",0.223229027930411,0.4380671872216853,"{""beta_0.005"": 0.4036081793082147, ""beta_0.01"": 0.4235484174000611, ""beta_0.02"": 0.4870449649567803}",42,rgb
1.8811259619279055,2.0019315166609384,3,noise,rgb,0.1828888888888889,0.344037037037037,"{""beta_0.005_vs_beta_0.01"": 0.10928806122773511, ""beta_0.005_vs_beta_0.02"": 0.32232647888628735, ""beta_0.01_vs_beta_0.02"": 0.22051569435918686}",0.21737674482440308,0.43517335645313504,"{""beta_0.005"": 0.4015822747299153, ""beta_0.01"": 0.42090062562523983, ""beta_0.02"": 0.48303716900425}",42,rgb
1.9026028547439127,2.124559064275201,4,noise,rgb,0.17644444444444443,0.33570370370370367,"{""beta_0.005_vs_beta_0.01"": 0.09770349920403204, ""beta_0.005_vs_beta_0.02"": 0.29900164777510857, ""beta_0.01_vs_beta_0.02"": 0.2068238040617601}",0.2011763170136336,0.42741096782881655,"{""beta_0.005"": 0.3968540600262433, ""beta_0.01"": 0.4138827170486247, ""beta_0.02"": 0.47149612641158173}",42,rgb
