variant,family,preregistered_sign,observed_slope_di_mmd,observed_sign,sign_matches_prereg,detection_dose,di_mmd_by_dose,di_mmd_std_by_dose,numerator_by_dose,denominator_by_dose
rgb,colorbias,+,0.11955539056697898,+,True,3,"[2.501164393507716, 2.253797197936238, 2.452918760078427, 1.7039854394459681, 3.373847225587748]","[0.7389577034207517, 0.6709462835419132, 0.996509625837935, 0.41905911555664305, 1.2211036257738486]","[0.4628911554237913, 0.39808612119559866, 0.5355709488128474, 0.5769412099760237, 0.8770597495523548]","[0.19709355330405715, 0.1916425751669029, 0.25401796027516854, 0.34635743754278836, 0.28823568141418315]"
rgb,noise,+,-0.017131358773060816,-,False,,"[2.501164393507716, 2.4995059720080643, 2.4932803861358948, 2.4714562222049787, 2.4295324745439553]","[0.7389577034207517, 0.7384837340817411, 0.7328798935425413, 0.7204690345405136, 0.6816452116490358]","[0.4628911554237913, 0.46253667631576556, 0.46158207417772934, 0.45804324190148016, 0.4491039554614513]","[0.19709355330405715, 0.19703604431159466, 0.1969013598150785, 0.19670160475129944, 0.19542681505814768]"
rgb,jpeg,-/mixed,0.03062913119092465,+,False,,"[2.501164393507716, 2.4859384749942786, 2.3729495715040754, 2.440424380541475, 2.6770670966887424]","[0.7389577034207517, 0.6934133001587454, 0.6393169985822862, 0.6082724313399442, 0.629614411856005]","[0.4628911554237913, 0.461061703763819, 0.4633246421963336, 0.46998558452951233, 0.4194257357102069]","[0.19709355330405715, 0.19612957994059155, 0.20521605744138408, 0.20037878138728032, 0.16316172732449719]"
tsp_grad_mag,colorbias,+,0.09361478397168173,+,True,3,"[1.7963134307048634, 1.811296576989133, 1.9000751721452613, 2.01659616166092, 2.1617375582273786]","[0.5299375607521987, 0.5251090786857884, 0.5409847857948311, 0.553705596133616, 0.564404636750816]","[0.34095538435969114, 0.3458928951596102, 0.36287006316476167, 0.3888541036902783, 0.4228154226066076]","[0.20224242541385432, 0.20326653772135272, 0.203143949632595, 0.20442680075158104, 0.2065450730107799]"
tsp_grad_mag,noise,+,0.3210683101004296,+,True,2,"[1.7963134307048634, 1.9096867248764553, 2.063815516005686, 2.492667302056204, 3.110164692617137]","[0.5299375607521987, 0.5253947523515683, 0.5175742601396637, 0.563955938347378, 0.8675730141703155]","[0.34095538435969114, 0.3521940262693862, 0.37208428803685284, 0.4528225664259593, 0.569433884613356]","[0.20224242541385432, 0.19532608869900253, 0.1893407399013261, 0.19026543919980743, 0.19770865804647147]"
tsp_grad_mag,jpeg,-/mixed,0.22729779444219528,+,False,2,"[1.7963134307048634, 1.845640290899682, 2.039358926662793, 2.1912028874901543, 2.7600211046206047]","[0.5299375607521987, 0.5037840345353816, 0.4658151063929608, 0.40470474019220215, 0.5755946274251665]","[0.34095538435969114, 0.3603060261241896, 0.4173189981237684, 0.5417426175985327, 0.711321936593369]","[0.20224242541385432, 0.20677041969376114, 0.21387094097558368, 0.254447758753655, 0.26748244709411767]"
raw_dark_channel,colorbias,+,-0.10134316017070848,-,False,3,"[1.5851957177606733, 1.5376337506778122, 1.447324119568889, 1.2995711741843414, 1.197511205153868]","[0.5625922748941142, 0.49185966487408644, 0.4202011923900842, 0.3469078012113821, 0.3564820234460042]","[0.3654506794366902, 0.3747175715668535, 0.3630177558386768, 0.3501437095236423, 0.35127389668879305]","[0.26418623514587847, 0.27408067878646547, 0.278295762090701, 0.29577350121869184, 0.32005818578917716]"
raw_dark_channel,noise,+,0.02444611530003326,+,True,,"[1.5851957177606733, 1.5794014623376826, 1.5755515010173005, 1.5763073801100447, 1.7089733353746595]","[0.5625922748941142, 0.5556777872100952, 0.5582775030139114, 0.5865098108121748, 0.8526984810936972]","[0.3654506794366902, 0.3651011081529564, 0.3638424435871834, 0.36106670616379855, 0.35985600397447215]","[0.26418623514587847, 0.26454299161786143, 0.2649203347818366, 0.26580114914090786, 0.26210762834940665]"
raw_dark_channel,jpeg,-/mixed,0.09136048047931256,+,False,4,"[1.5851957177606733, 1.589366275485458, 1.6269419015697437, 1.7078670776706317, 1.98274771906465]","[0.5625922748941142, 0.5944921262223165, 0.6613702208916823, 0.8026201552140061, 1.273693051434584]","[0.3654506794366902, 0.3616370216218479, 0.36114108421865043, 0.35994644884967697, 0.3631718433957336]","[0.26418623514587847, 0.2639819902747434, 0.2628182033826305, 0.2595882273329527, 0.2506984854500306]"
raw_transmission,colorbias,+,0.01993183247909216,+,True,,"[1.3208132626015765, 1.3085346174252617, 1.342818070865911, 1.369100501671046, 1.3901894828741457]","[0.6015616993845808, 0.6253772304470845, 0.5721586338768552, 0.38493896698546115, 0.14894725682050855]","[0.509124725592156, 0.5178147241060154, 0.544318003158385, 0.5876321673763394, 0.6437004420688727]","[0.42062605764109195, 0.437053077299942, 0.44264787107975917, 0.45045637694030793, 0.46853202791629495]"
